incident_id,date,month,shift,incident_type,staffing_ratio,avg_experience_years,workload_index,bed_occupancy_rate,checklist_compliance,training_compliance,equipment_maintenance_score,human_factor,communication_issue,protocol_issue,equipment_issue,severity_label,severity_binary
ICU_0015,2025-11-18,11,Night,Medication Error,3.33,4.2,0.61,0.77,0.66,0.8,0.94,0,1,0,0,Sentinel,1
ICU_0016,2025-07-08,7,Night,Central Line Issue,2.96,4.3,0.88,0.86,0.68,0.5,0.93,0,0,0,0,Severe,1
ICU_0017,2025-03-11,3,Night,Fall,2.76,1.0,1.08,0.96,0.5,0.99,0.96,1,0,0,0,Mild,0
ICU_0018,2025-08-08,8,Morning,Medication Error,2.23,2.6,1.02,1.15,0.99,0.55,0.83,0,0,0,1,Severe,1
ICU_0019,2025-07-08,7,Night,Sepsis Delay,2.33,5.9,1.23,0.78,0.8,0.92,0.99,1,1,0,0,Severe,1
ICU_0020,2025-09-14,9,Morning,Ventilator Event,2.45,2.8,0.7,0.93,0.77,0.46,0.72,0,0,0,1,Severe,1
ICU_0021,2025-11-04,11,Morning,Handover Communication,2.55,5.1,0.96,1.08,0.87,0.43,0.88,0,0,0,0,Moderate,0
ICU_0022,2025-09-05,9,Night,Fall,2.38,4.5,1.28,0.84,0.65,0.8,0.64,0,1,0,0,Mild,0
ICU_0023,2025-04-25,4,Morning,Pressure Injury,2.8,4.5,1.2,0.92,0.72,0.86,0.83,0,1,0,0,Mild,0
ICU_0024,2025-10-27,10,Night,Ventilator Event,2.56,2.8,1.31,0.87,0.96,0.85,0.83,1,0,0,0,Severe,1
ICU_0025,2025-08-18,8,Morning,Handover Communication,2.4,4.2,1.36,1.11,0.95,0.48,0.63,0,1,0,1,Severe,1
ICU_0026,2025-03-31,3,Evening,Pressure Injury,2.39,2.5,0.92,0.98,0.56,0.52,0.92,0,0,1,0,Mild,0
ICU_0027,2025-07-14,7,Night,Medication Error,3.05,3.8,0.51,0.98,0.97,0.75,0.68,0,1,0,0,Severe,1
ICU_0028,2025-05-17,5,Night,Fall,2.18,6.2,1.17,0.71,0.82,0.42,0.9,0,1,0,0,Near Miss,0
ICU_0029,2025-01-25,1,Morning,Central Line Issue,2.08,3.9,1.04,0.73,0.83,1.0,0.91,1,0,0,0,Sentinel,1
ICU_0030,2025-03-14,3,Evening,Handover Communication,2.14,4.3,1.2,1.03,0.52,0.88,0.81,0,1,0,0,Moderate,0
ICU_0031,2025-05-28,5,Morning,Blood Transfusion Reaction,3.06,3.5,0.91,0.94,0.59,0.59,0.94,0,0,0,1,Severe,1
ICU_0032,2025-08-02,8,Evening,Handover Communication,2.37,2.1,1.49,0.82,0.96,0.95,0.64,1,1,0,1,Severe,1
ICU_0033,2025-09-29,9,Evening,Sepsis Delay,2.58,-0.8,0.81,0.72,0.62,0.46,0.7,0,0,1,0,Severe,1
ICU_0034,2025-10-13,10,Morning,Diagnostic Delay,2.48,3.8,1.48,0.97,0.81,0.4,0.79,0,0,0,0,Mild,0
ICU_0035,2025-01-31,1,Evening,Blood Transfusion Reaction,2.47,2.6,1.46,0.87,0.9,0.88,0.68,0,0,0,0,Severe,1
ICU_0036,2025-05-04,5,Morning,Medication Error,3.2,3.3,0.91,0.8,0.98,0.79,0.95,0,1,0,1,Severe,1
ICU_0037,2025-01-22,1,Night,Sepsis Delay,2.2,4.0,1.49,0.82,0.69,0.53,0.64,0,0,0,0,Severe,1
ICU_0038,2025-11-26,11,Morning,Handover Communication,2.2,2.5,1.13,0.84,0.68,0.4,0.75,0,0,0,0,Severe,1
ICU_0039,2025-08-11,8,Night,Equipment Malfunction,2.01,4.2,1.1,0.85,0.82,0.42,0.96,1,1,0,0,Severe,1
ICU_0040,2025-02-24,2,Morning,Central Line Issue,2.66,5.0,1.46,0.91,0.94,0.61,0.97,0,0,0,1,Severe,1
ICU_0041,2025-04-20,4,Morning,Equipment Malfunction,2.62,4.4,0.62,1.0,0.51,0.83,0.6,1,0,0,0,Severe,1
ICU_0042,2025-12-09,12,Evening,Sepsis Delay,2.47,3.8,1.38,0.88,0.77,0.74,0.69,1,1,0,0,Sentinel,1
ICU_0043,2025-02-14,2,Morning,Handover Communication,3.25,5.3,0.8,0.91,0.73,0.96,0.83,1,1,0,1,Severe,1
ICU_0044,2025-02-28,2,Night,Fall,2.53,4.9,1.0,0.7,0.74,0.96,0.68,1,0,0,0,Moderate,0
ICU_0045,2025-05-01,5,Evening,Equipment Malfunction,2.45,3.1,0.87,1.13,0.51,0.95,0.87,0,1,1,0,Sentinel,1
ICU_0046,2025-02-01,2,Night,Medication Error,2.59,5.2,1.31,0.87,0.67,0.63,0.9,1,0,1,1,Sentinel,1
ICU_0047,2025-11-06,11,Evening,Pressure Injury,1.97,3.0,1.44,1.15,0.67,0.78,0.71,0,0,0,0,Severe,1
ICU_0048,2025-01-18,1,Evening,Blood Transfusion Reaction,2.25,2.3,0.83,1.14,0.91,0.83,0.98,0,0,1,0,Mild,0
ICU_0049,2025-02-10,2,Night,Equipment Malfunction,1.89,3.3,0.62,0.85,0.57,0.46,0.84,1,1,0,0,Mild,0
ICU_0050,2025-07-24,7,Morning,Ventilator Event,2.88,1.0,0.69,1.04,0.61,0.57,0.9,1,1,0,0,Moderate,0
ICU_0051,2025-03-25,3,Morning,Equipment Malfunction,1.73,5.0,1.04,1.05,0.96,0.75,0.69,1,1,0,0,Severe,1
ICU_0052,2025-04-05,4,Morning,Ventilator Event,2.83,5.1,0.7,1.11,0.73,0.87,0.69,0,0,0,0,Severe,1
ICU_0053,2025-05-11,5,Morning,Handover Communication,2.64,3.8,1.16,1.09,0.84,0.52,0.79,1,1,1,0,Severe,1
ICU_0054,2025-03-03,3,Evening,Handover Communication,2.73,5.5,0.51,0.74,0.67,0.97,0.8,0,0,0,0,Near Miss,0
ICU_0055,2025-02-17,2,Night,Ventilator Event,2.17,2.0,0.71,0.91,0.61,0.91,0.78,1,0,0,0,Mild,0
ICU_0056,2025-12-12,12,Morning,Central Line Issue,2.62,3.8,0.81,1.15,0.52,0.82,0.79,0,0,1,1,Sentinel,1
ICU_0057,2025-02-12,2,Night,Central Line Issue,2.29,3.9,0.54,0.87,0.97,0.77,0.75,0,1,0,0,Severe,1
ICU_0058,2025-10-19,10,Evening,Equipment Malfunction,1.99,4.7,0.67,0.88,0.93,0.71,0.72,0,0,0,1,Severe,1
ICU_0059,2025-12-05,12,Morning,Handover Communication,2.49,4.3,1.16,0.9,0.63,0.45,0.71,0,1,0,1,Severe,1
ICU_0060,2025-02-03,2,Morning,Central Line Issue,2.23,1.7,0.68,1.18,0.55,0.78,0.78,0,0,0,1,Severe,1
ICU_0061,2025-10-19,10,Night,Equipment Malfunction,1.74,2.3,1.37,0.84,0.51,0.95,0.95,0,1,0,0,Severe,1
ICU_0062,2025-10-01,10,Night,Diagnostic Delay,2.57,1.3,0.61,0.75,0.92,0.65,0.86,1,0,1,0,Sentinel,1
ICU_0063,2025-07-30,7,Night,Fall,2.67,4.3,0.97,0.89,0.77,0.92,0.86,0,0,0,0,Severe,1
ICU_0064,2025-02-14,2,Morning,Medication Error,2.8,2.9,0.63,0.78,0.81,0.54,0.88,1,0,1,0,Severe,1
ICU_0065,2025-08-04,8,Evening,Diagnostic Delay,1.98,2.7,1.5,0.72,0.82,0.42,0.9,0,1,0,0,Sentinel,1
ICU_0066,2025-01-02,1,Night,Blood Transfusion Reaction,2.41,3.8,1.15,1.07,0.84,0.43,0.72,0,0,0,0,Sentinel,1
ICU_0067,2025-05-07,5,Evening,Pressure Injury,1.79,3.4,1.31,0.77,0.81,0.99,0.96,1,1,0,0,Sentinel,1
ICU_0068,2025-10-16,10,Night,Blood Transfusion Reaction,2.44,5.2,1.24,0.81,0.7,0.91,0.65,0,1,1,0,Severe,1
ICU_0069,2025-07-10,7,Night,Equipment Malfunction,2.5,5.5,0.93,0.85,0.96,0.71,0.92,1,1,0,1,Sentinel,1
ICU_0070,2025-09-17,9,Evening,Ventilator Event,2.08,2.1,1.1,0.92,0.97,0.64,0.79,0,0,0,0,Severe,1
ICU_0071,2025-11-06,11,Night,Equipment Malfunction,1.95,6.5,1.49,0.75,0.61,0.59,0.66,0,1,0,1,Sentinel,1
ICU_0072,2025-12-20,12,Night,Pressure Injury,2.87,2.9,1.02,0.72,0.99,0.77,0.62,0,0,1,1,Severe,1
ICU_0073,2025-07-24,7,Night,Central Line Issue,2.04,6.3,0.64,0.98,0.86,0.8,0.7,0,0,0,0,Mild,0
ICU_0074,2025-08-29,8,Evening,Central Line Issue,3.54,6.6,1.22,0.88,0.9,0.78,0.62,0,0,0,1,Sentinel,1
ICU_0075,2025-08-30,8,Evening,Equipment Malfunction,2.95,4.2,1.07,0.79,0.76,0.85,0.64,1,0,0,1,Severe,1
ICU_0076,2025-02-27,2,Night,Medication Error,2.33,4.6,1.03,0.89,0.62,0.79,0.61,0,0,0,0,Mild,0
ICU_0077,2025-10-15,10,Night,Fall,2.57,6.4,1.38,0.96,0.52,0.49,0.92,0,0,1,0,Severe,1
ICU_0078,2025-04-14,4,Evening,Fall,1.34,3.4,0.82,0.84,0.98,0.66,0.95,0,1,0,0,Sentinel,1
ICU_0079,2025-10-06,10,Night,Diagnostic Delay,2.87,4.6,1.35,1.18,0.85,0.88,0.89,1,1,1,0,Near Miss,0
ICU_0080,2025-09-06,9,Evening,Pressure Injury,3.11,5.1,1.22,0.72,0.76,0.88,0.7,0,0,0,1,Severe,1
ICU_0081,2025-09-08,9,Evening,Ventilator Event,1.52,2.0,0.9,0.76,0.76,0.67,0.87,1,0,0,0,Severe,1
ICU_0082,2025-03-31,3,Morning,Sepsis Delay,2.32,4.1,0.53,1.05,0.85,0.98,0.95,0,0,0,0,Mild,0
ICU_0083,2025-08-18,8,Evening,Medication Error,3.4,3.1,0.96,0.81,0.69,0.46,0.87,1,0,0,0,Moderate,0
ICU_0084,2025-07-08,7,Morning,Handover Communication,2.46,1.9,1.47,0.72,0.58,0.58,0.98,1,1,1,0,Sentinel,1
ICU_0085,2025-05-27,5,Night,Handover Communication,2.8,4.1,1.38,0.9,0.83,0.79,0.73,1,0,0,1,Severe,1
ICU_0086,2025-08-30,8,Morning,Central Line Issue,2.45,2.0,0.76,0.88,0.98,0.68,0.87,0,0,0,0,Near Miss,0
ICU_0087,2025-08-26,8,Evening,Fall,2.06,4.9,0.6,1.17,0.97,0.77,0.61,0,0,0,0,Near Miss,0
ICU_0088,2025-11-30,11,Evening,Equipment Malfunction,2.77,3.1,1.38,0.93,0.68,0.56,0.65,0,0,0,0,Mild,0
ICU_0089,2025-03-08,3,Morning,Sepsis Delay,2.32,4.6,0.71,1.03,0.88,0.89,0.67,1,0,0,0,Severe,1
ICU_0090,2025-05-29,5,Night,Central Line Issue,3.16,6.5,1.47,1.03,0.79,0.71,0.91,1,0,0,0,Severe,1
ICU_0091,2025-07-08,7,Night,Fall,2.5,4.9,0.83,0.88,0.9,0.63,0.91,0,1,1,0,Sentinel,1
ICU_0092,2025-06-05,6,Morning,Equipment Malfunction,2.97,3.7,0.58,0.94,0.73,0.56,0.98,1,1,1,0,Severe,1
ICU_0093,2025-01-26,1,Morning,Diagnostic Delay,2.45,5.3,0.6,0.8,0.64,0.69,0.74,0,1,1,0,Severe,1
ICU_0094,2025-01-21,1,Morning,Ventilator Event,2.45,6.3,1.37,1.2,0.61,0.77,0.94,1,1,1,0,Sentinel,1
ICU_0095,2025-09-26,9,Night,Medication Error,2.46,4.3,1.23,0.71,0.94,0.44,0.89,0,0,0,1,Near Miss,0
ICU_0096,2025-03-07,3,Evening,Blood Transfusion Reaction,2.5,4.3,0.71,1.0,0.81,0.8,0.67,0,0,0,0,Severe,1
ICU_0097,2025-10-19,10,Morning,Central Line Issue,2.6,5.2,0.54,1.04,0.6,0.42,0.82,0,0,0,0,Mild,0
ICU_0098,2025-04-12,4,Night,Central Line Issue,2.63,4.4,0.6,1.03,0.86,0.58,0.99,1,0,0,1,Sentinel,1
ICU_0099,2025-09-13,9,Morning,Equipment Malfunction,2.37,3.7,1.02,1.05,0.62,0.6,0.83,0,0,0,0,Moderate,0
ICU_0100,2025-05-18,5,Night,Diagnostic Delay,2.63,4.7,0.71,0.83,0.76,0.86,0.85,0,1,1,0,Severe,1
ICU_0101,2025-02-16,2,Night,Equipment Malfunction,3.52,4.1,1.26,0.97,0.95,0.97,0.97,1,0,1,0,Severe,1
ICU_0102,2025-02-19,2,Night,Fall,2.18,5.2,0.89,0.84,0.83,0.59,0.9,1,1,1,0,Sentinel,1
ICU_0103,2025-03-01,3,Evening,Fall,2.61,3.4,1.09,1.12,0.72,0.77,0.82,0,0,1,0,Moderate,0
ICU_0104,2025-05-17,5,Night,Blood Transfusion Reaction,1.99,4.3,1.4,0.8,0.83,0.96,0.69,1,1,0,0,Severe,1
ICU_0105,2025-04-02,4,Morning,Sepsis Delay,2.71,3.4,1.33,0.88,0.63,0.48,1.0,0,1,0,0,Mild,0
ICU_0106,2025-05-05,5,Evening,Equipment Malfunction,2.09,4.1,0.55,0.87,0.96,0.97,0.94,0,1,0,0,Mild,0
ICU_0107,2025-12-26,12,Night,Equipment Malfunction,2.39,2.3,0.75,0.8,0.84,0.69,0.73,0,0,1,0,Near Miss,0
ICU_0108,2025-11-03,11,Evening,Handover Communication,2.54,2.6,0.85,0.9,0.66,0.63,0.82,0,0,0,1,Severe,1
ICU_0109,2025-12-09,12,Morning,Medication Error,2.54,5.2,0.77,1.2,0.69,0.82,0.88,1,1,0,0,Severe,1
ICU_0110,2025-03-23,3,Night,Sepsis Delay,1.96,3.6,1.47,0.73,0.74,0.53,0.72,1,0,0,0,Severe,1
ICU_0111,2025-05-13,5,Morning,Handover Communication,2.32,5.6,0.58,0.8,0.93,0.99,0.71,1,0,0,0,Moderate,0
ICU_0112,2025-03-27,3,Evening,Equipment Malfunction,2.27,4.4,1.22,0.91,0.96,0.59,0.98,0,0,0,0,Severe,1
ICU_0113,2025-08-08,8,Morning,Sepsis Delay,1.63,4.1,1.15,0.82,0.61,0.52,0.98,0,1,0,0,Mild,0
ICU_0114,2025-03-09,3,Morning,Sepsis Delay,3.16,3.9,0.97,0.99,0.79,0.99,0.87,1,0,1,0,Severe,1
ICU_0115,2025-05-30,5,Evening,Sepsis Delay,2.41,1.8,0.89,1.11,0.89,0.45,0.98,0,0,0,0,Severe,1
ICU_0116,2025-12-06,12,Morning,Pressure Injury,3.48,5.0,0.91,1.02,0.94,0.8,0.99,0,0,0,0,Mild,0
ICU_0117,2025-03-06,3,Morning,Sepsis Delay,2.86,4.8,0.55,1.04,0.83,0.46,0.94,1,0,1,0,Sentinel,1
ICU_0118,2025-12-31,12,Evening,Medication Error,2.17,4.3,1.09,0.94,0.62,0.41,0.75,0,0,1,0,Moderate,0
ICU_0119,2025-06-23,6,Morning,Ventilator Event,1.89,5.6,0.81,1.08,0.88,0.83,0.64,0,0,0,0,Near Miss,0
ICU_0120,2025-10-29,10,Morning,Diagnostic Delay,3.62,5.2,1.24,1.15,0.68,0.66,0.89,0,1,0,0,Sentinel,1
ICU_0121,2025-09-06,9,Night,Handover Communication,2.78,6.9,0.85,0.8,0.59,0.45,0.63,0,1,0,1,Severe,1
ICU_0122,2025-01-26,1,Evening,Handover Communication,2.36,5.6,0.56,1.15,0.61,0.56,0.68,0,0,1,1,Severe,1
ICU_0123,2025-11-11,11,Evening,Central Line Issue,2.62,4.2,1.17,1.13,0.62,0.8,0.88,1,1,0,0,Sentinel,1
ICU_0124,2025-02-02,2,Night,Blood Transfusion Reaction,2.93,3.8,1.19,1.15,0.88,0.71,0.8,0,1,0,1,Severe,1
ICU_0125,2025-06-22,6,Night,Sepsis Delay,2.34,3.9,1.04,0.91,0.58,0.47,0.78,0,0,0,0,Sentinel,1
ICU_0126,2025-12-21,12,Night,Central Line Issue,1.92,1.8,0.55,0.91,0.51,0.42,0.74,0,1,1,0,Severe,1
ICU_0127,2025-08-12,8,Evening,Handover Communication,2.43,6.0,0.51,0.78,0.87,0.84,0.9,0,0,1,1,Near Miss,0
ICU_0128,2025-02-02,2,Night,Central Line Issue,1.97,2.0,1.3,0.9,0.86,0.75,0.75,0,1,0,0,Sentinel,1
ICU_0129,2025-08-15,8,Morning,Medication Error,2.45,5.5,1.49,0.88,0.62,0.61,0.74,1,1,0,1,Sentinel,1
ICU_0130,2025-09-03,9,Night,Blood Transfusion Reaction,2.31,6.2,0.93,0.94,0.72,0.7,0.74,0,1,1,1,Sentinel,1
ICU_0131,2025-12-05,12,Morning,Ventilator Event,1.61,2.4,1.02,1.01,0.62,0.71,0.84,0,0,1,0,Severe,1
ICU_0132,2025-02-13,2,Night,Diagnostic Delay,2.51,3.5,0.74,0.9,0.91,0.6,0.79,0,1,1,0,Moderate,0
ICU_0133,2025-03-01,3,Night,Sepsis Delay,1.94,5.6,0.71,0.85,0.98,0.45,0.79,0,1,1,0,Sentinel,1
ICU_0134,2025-12-21,12,Night,Pressure Injury,2.52,3.0,0.65,1.02,0.63,0.81,0.74,0,0,0,0,Mild,0
ICU_0135,2025-10-12,10,Evening,Equipment Malfunction,2.5,2.7,0.79,1.02,0.75,0.42,0.73,1,0,1,1,Mild,0
ICU_0136,2025-09-25,9,Night,Pressure Injury,3.6,3.4,0.6,1.02,0.67,0.51,0.92,0,0,0,0,Sentinel,1
ICU_0137,2025-03-08,3,Morning,Blood Transfusion Reaction,2.41,6.8,0.51,0.9,0.82,0.92,0.85,0,0,0,0,Sentinel,1
ICU_0138,2025-08-17,8,Morning,Medication Error,2.06,0.8,1.37,0.88,0.53,0.67,1.0,1,0,1,0,Severe,1
ICU_0139,2025-03-04,3,Evening,Central Line Issue,2.02,3.3,0.55,0.79,0.66,0.74,0.87,0,0,0,0,Mild,0
ICU_0140,2025-10-01,10,Evening,Pressure Injury,2.27,3.4,1.03,1.04,0.65,0.8,0.72,0,0,0,0,Severe,1
ICU_0141,2025-04-25,4,Evening,Fall,2.31,5.6,1.24,0.72,0.6,0.44,0.67,1,0,0,0,Severe,1
ICU_0142,2025-06-15,6,Night,Pressure Injury,2.43,0.4,1.42,1.01,0.85,0.45,0.71,0,1,0,0,Moderate,0
ICU_0143,2025-02-25,2,Night,Fall,2.51,4.3,1.29,0.72,0.54,0.47,0.61,1,0,0,0,Moderate,0
ICU_0144,2025-03-04,3,Morning,Diagnostic Delay,2.44,4.4,1.5,1.07,0.63,1.0,0.95,0,1,0,0,Mild,0
ICU_0145,2025-06-11,6,Evening,Equipment Malfunction,2.34,3.4,1.18,0.74,0.79,0.44,0.69,1,0,0,0,Mild,0
ICU_0146,2025-08-06,8,Evening,Medication Error,2.5,5.0,1.07,0.83,0.72,0.48,0.81,0,1,0,0,Severe,1
ICU_0147,2025-12-14,12,Night,Central Line Issue,2.35,4.2,1.02,0.83,0.59,0.74,0.72,0,1,0,0,Sentinel,1
ICU_0148,2025-08-03,8,Morning,Fall,2.05,3.8,0.63,0.75,0.54,0.73,0.9,1,0,1,0,Severe,1
ICU_0149,2025-06-01,6,Evening,Diagnostic Delay,2.43,3.8,0.97,1.13,0.88,0.73,0.66,0,0,0,1,Mild,0
ICU_0150,2025-01-01,1,Evening,Medication Error,3.11,2.9,0.87,0.72,0.79,0.83,0.89,0,0,0,0,Mild,0
ICU_0151,2025-10-22,10,Morning,Ventilator Event,2.31,2.5,0.91,0.91,0.56,0.63,0.8,0,0,1,0,Severe,1
ICU_0152,2025-10-11,10,Night,Pressure Injury,2.73,6.6,0.9,1.16,0.8,0.98,0.95,0,1,0,0,Mild,0
ICU_0153,2025-09-27,9,Evening,Pressure Injury,2.77,4.4,1.49,0.81,0.85,0.95,0.61,1,0,0,1,Sentinel,1
ICU_0154,2025-05-12,5,Night,Sepsis Delay,2.58,5.1,0.66,0.72,0.91,0.48,0.98,0,0,0,0,Near Miss,0
ICU_0155,2025-05-30,5,Evening,Central Line Issue,2.91,3.7,1.27,1.13,0.74,0.83,0.73,1,0,0,0,Mild,0
ICU_0156,2025-05-25,5,Morning,Central Line Issue,2.34,4.0,0.51,1.04,0.55,0.44,0.8,0,0,0,0,Severe,1
ICU_0157,2025-12-10,12,Morning,Medication Error,2.23,3.5,0.57,0.8,0.55,0.4,0.71,0,0,0,1,Moderate,0
ICU_0158,2025-11-02,11,Evening,Fall,2.92,3.3,0.8,1.06,0.86,0.42,0.98,1,0,1,0,Severe,1
ICU_0159,2025-04-08,4,Morning,Sepsis Delay,2.67,2.9,0.88,1.13,1.0,0.52,0.93,1,0,0,0,Sentinel,1
ICU_0160,2025-03-30,3,Evening,Diagnostic Delay,2.71,4.0,1.16,1.0,0.61,0.83,0.72,1,0,0,0,Severe,1
ICU_0161,2025-08-11,8,Morning,Ventilator Event,2.43,0.6,1.42,1.09,0.62,0.46,0.94,1,0,0,0,Severe,1
ICU_0162,2025-06-08,6,Evening,Fall,2.75,4.6,0.88,0.95,0.73,0.59,0.73,0,0,0,0,Mild,0
ICU_0163,2025-07-05,7,Night,Sepsis Delay,2.88,5.2,1.36,1.12,0.88,0.6,0.88,1,0,1,0,Severe,1
ICU_0164,2025-02-21,2,Evening,Sepsis Delay,1.98,4.8,0.75,1.12,0.88,0.6,0.81,0,0,1,1,Severe,1
ICU_0165,2025-10-09,10,Evening,Medication Error,2.62,4.8,1.03,0.73,0.71,0.63,0.67,1,0,0,0,Severe,1
ICU_0166,2025-05-13,5,Night,Ventilator Event,2.37,3.5,1.1,0.76,0.62,0.97,0.69,1,0,0,0,Mild,0
ICU_0167,2025-01-23,1,Evening,Central Line Issue,2.71,6.1,0.91,1.0,0.57,0.69,0.99,1,1,0,0,Sentinel,1
ICU_0168,2025-04-21,4,Evening,Blood Transfusion Reaction,1.89,3.4,1.43,1.01,0.86,0.73,0.6,0,1,1,0,Severe,1
ICU_0169,2025-06-23,6,Night,Diagnostic Delay,2.85,4.9,1.35,1.2,0.64,0.67,0.82,0,1,1,0,Severe,1
ICU_0170,2025-10-09,10,Night,Handover Communication,2.47,2.2,0.78,1.12,0.67,0.45,0.6,0,1,0,0,Sentinel,1
ICU_0171,2025-06-17,6,Morning,Diagnostic Delay,1.97,1.1,1.36,0.83,0.65,0.84,0.67,0,1,0,0,Sentinel,1
ICU_0172,2025-10-15,10,Morning,Blood Transfusion Reaction,3.04,5.1,0.68,0.81,0.85,0.88,0.98,0,0,0,0,Mild,0
ICU_0173,2025-07-02,7,Evening,Fall,2.69,1.2,0.65,0.92,0.63,0.61,0.92,0,0,0,0,Mild,0
ICU_0174,2025-05-30,5,Morning,Fall,2.75,5.4,0.62,0.84,0.97,0.67,0.85,0,1,1,0,Severe,1
ICU_0175,2025-07-04,7,Night,Ventilator Event,2.51,3.4,1.19,0.73,0.56,0.62,0.98,0,0,0,0,Mild,0
ICU_0176,2025-08-10,8,Night,Medication Error,2.66,4.5,1.04,1.15,0.59,0.56,0.61,0,0,0,0,Severe,1
ICU_0177,2025-03-23,3,Morning,Central Line Issue,2.88,4.3,1.11,0.74,0.85,0.81,0.67,0,1,0,0,Near Miss,0
ICU_0178,2025-01-19,1,Night,Pressure Injury,1.87,2.7,1.07,1.19,0.86,0.87,0.91,0,1,0,0,Severe,1
ICU_0179,2025-05-02,5,Morning,Pressure Injury,2.15,2.9,0.74,0.81,0.6,0.96,0.98,0,0,1,0,Severe,1
ICU_0180,2025-11-11,11,Evening,Ventilator Event,2.58,5.7,0.71,0.93,0.54,0.99,0.66,1,0,0,0,Severe,1
ICU_0181,2025-04-27,4,Night,Ventilator Event,2.3,4.4,1.09,0.76,0.93,0.8,0.98,1,0,0,0,Sentinel,1
ICU_0182,2025-02-12,2,Night,Diagnostic Delay,2.44,2.3,1.04,0.75,0.84,0.74,0.74,1,0,0,0,Severe,1
ICU_0183,2025-08-04,8,Night,Fall,3.03,3.4,0.86,1.19,0.96,0.45,0.94,0,1,0,0,Severe,1
ICU_0184,2025-03-10,3,Morning,Handover Communication,2.34,4.2,1.46,1.12,0.92,0.95,0.97,0,0,0,0,Severe,1
ICU_0185,2025-10-03,10,Evening,Handover Communication,3.0,3.8,0.77,1.08,0.9,0.45,0.97,0,0,0,0,Near Miss,0
ICU_0186,2025-07-28,7,Night,Equipment Malfunction,2.65,5.8,1.21,0.87,0.74,0.49,0.8,0,1,0,0,Mild,0
ICU_0187,2025-04-26,4,Evening,Blood Transfusion Reaction,2.62,6.2,0.63,1.11,0.87,0.42,0.92,0,0,1,0,Moderate,0
ICU_0188,2025-12-29,12,Evening,Pressure Injury,2.52,5.7,0.88,0.74,0.91,0.4,0.74,0,0,0,0,Mild,0
ICU_0189,2025-04-05,4,Evening,Fall,2.75,3.6,0.95,1.14,0.54,0.91,0.84,1,0,0,0,Severe,1
ICU_0190,2025-05-24,5,Night,Central Line Issue,1.74,4.6,0.99,0.84,0.73,0.86,0.85,0,0,1,0,Sentinel,1
ICU_0191,2025-09-22,9,Night,Sepsis Delay,2.78,4.5,0.55,0.8,0.86,0.64,0.86,0,0,0,0,Near Miss,0
ICU_0192,2025-05-13,5,Evening,Central Line Issue,2.61,4.7,1.43,0.78,0.88,0.82,0.6,1,0,0,1,Severe,1
ICU_0193,2025-01-28,1,Morning,Sepsis Delay,3.11,4.2,0.91,0.7,0.59,0.97,0.7,0,0,0,0,Severe,1
ICU_0194,2025-01-28,1,Night,Medication Error,2.35,5.5,1.02,0.94,0.57,0.62,1.0,0,1,0,0,Mild,0
ICU_0195,2025-06-23,6,Night,Equipment Malfunction,1.97,7.7,1.05,0.83,0.78,0.84,0.64,0,0,1,0,Severe,1
